,DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/ Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,dbn,total_students,graduation_rate,attendance_rate,pct_stu_enough_variety,college_career_rate,pct_stu_safe,girls,boys,pbat,international,specialized,transfer,ptech,earlycollege,school_accessibility_description,zip,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL
52,02M531,Repertory Company High School for Theatre Arts,High School,246,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.72,0.73,0.6,0.83,0.83,0.8,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"March 6, 2015",3.1,2.67,0.012,0.163,0.0,0.581,0.033,0.077,0.423,0.02,0.341,0.524,0.081,1.4,0.625,0.914,0.298,0.966,02M531,242,0.96,0.91,0.68,0.87,0.85,,,,,,,,,2.0,10036,40.755843,-73.984382,5,4,119,1022615.0,1009960021.0
53,02M533,Union Square Academy for Health Sciences,High School,406,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,0.82,0.9,0.72,0.93,0.91,0.9,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,2015-04-23T00:00:00.000,2.73,2.45,0.067,0.145,0.005,0.726,0.044000000000000004,0.10099999999999999,0.5539999999999999,0.131,0.22899999999999998,0.5589999999999999,0.057,5.0,0.345,0.883,0.341,0.982,02M533,398,0.87,0.88,0.72,0.79,0.81,,,,,,,,,1.0,10003,40.735494,-73.987659,6,2,50,1017828.0,1008720057.0
54,02M534,Harvest Collegiate High School,High School,458,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.83,0.9,0.73,0.94,0.84,0.91,Proficient,Developing,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,February 2017,3.01,2.55,0.017,0.29,0.006999999999999999,0.48700000000000004,0.057,0.081,0.299,0.07,0.255,0.445,0.192,4.9,0.675,0.8490000000000001,0.434,0.9640000000000001,02M534,487,0.87,0.85,0.85,0.79,0.83,,,1.0,,,,,,,10011,40.736518,-73.994858,2,3,63,1009713.0,1005770019.0
55,02M542,Manhattan Bridges High School,High School,525,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.87,0.91,0.83,0.91,0.83,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,2015-01-22T00:00:00.000,2.33,2.4,0.467,0.05,0.002,0.828,0.069,0.22899999999999998,0.52,0.002,0.002,0.992,0.0,14.0,0.8059999999999999,0.9159999999999999,0.253,0.9690000000000001,02M542,517,0.85,0.92,0.86,0.78,0.9,,,,1.0,,,,,2.0,10019,40.765184000000005,-73.992953,4,3,135,1083802.0,1010790029.0
56,02M543,New Design High School,High School,407,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Not Meeting Target,Meeting Target,Meeting Target,0.76,0.81,0.76,0.78,0.74,0.9,Proficient,Proficient,Well Developed,Well Developed,Well Developed,,,,,,"April, 16, 2015",2.64,2.22,0.061,0.273,0.006999999999999999,0.78,0.07400000000000001,0.135,0.634,0.059000000000000004,0.342,0.5579999999999999,0.017,14.0,0.6940000000000001,0.861,0.435,0.968,02M543,427,0.92,0.86,0.69,0.58,0.92,,,,,,,,,,10002,40.716778000000005,-73.989337,3,1,18,1005283.0,1004080030.0
57,02M545,High School for Dual Language and Asian Studies,High School,397,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.83,0.76,0.84,0.74,0.77,0.83,Proficient,Proficient,Proficient,Proficient,Developing,Well Developed,Well Developed,Proficient,Proficient,Developing,March 2017,3.23,3.81,0.11800000000000001,0.027999999999999997,0.0,0.6729999999999999,0.025,0.159,0.38,0.8440000000000001,0.043,0.063,0.038,14.0,0.76,0.983,0.025,0.9640000000000001,02M545,396,1.0,0.98,0.67,0.86,0.92,,,,,,,,,,10002,40.716778000000005,-73.989337,3,1,18,1005283.0,1004080030.0
58,02M546,Academy for Software Engineering,High School,458,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.84,0.92,0.76,0.95,0.9,0.95,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,"December 9, 2014",2.88,2.66,0.044000000000000004,0.24,0.0,0.621,0.035,0.068,0.43,0.092,0.251,0.515,0.1,5.0,0.618,0.902,0.341,0.97,02M546,460,0.85,0.9,0.78,0.82,0.87,,,,,,,,,1.0,10003,40.735494,-73.987659,6,2,50,1017828.0,1008720057.0
59,02M551,Urban Assembly New York Harbor School,High School,460,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.74,0.85,0.66,0.89,0.87,0.91,Developing,Developing,Developing,Well Developed,Developing,Well Developed,Well Developed,Proficient,Proficient,Proficient,January 2017,2.97,2.61,0.022000000000000002,0.217,0.002,0.505,0.035,0.05,0.341,0.048,0.193,0.439,0.261,2.0,0.657,0.9059999999999999,0.252,0.968,02M551,534,0.77,0.91,0.88,0.57,0.96,,,,,,,,,2.0,10004,40.701695,-74.01163100000001,1,1,9,1000003.0,1000020002.0
60,02M580,Richard R. Green High School of Teaching,High School,534,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.8,0.84,0.69,0.88,0.84,0.88,Proficient,Proficient,Developing,Proficient,Developing,Well Developed,Proficient,Proficient,Proficient,Proficient,April 2017,2.76,2.39,0.039,0.17600000000000002,0.002,0.733,0.054000000000000006,0.107,0.552,0.069,0.268,0.594,0.03,4.6,0.914,0.868,0.349,0.9620000000000001,02M580,499,0.68,0.87,0.75,0.53,0.85,,,,,,,,,1.0,10004,40.705024,-74.012977,1,1,9,1000811.0,1000220013.0
61,02M600,The High School of Fashion Industries,High School,1671,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.83,0.9,0.7,0.94,0.89,0.91,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,"April 30, 2015",3.02,2.63,0.03,0.159,0.044000000000000004,0.669,0.026000000000000002,0.094,0.507,0.064,0.366,0.517,0.044000000000000004,6.8,0.748,0.914,0.261,0.965,02M600,1590,0.93,0.91,0.91,0.79,0.86,,,,,,,,,2.0,10011,40.745156,-73.996074,4,3,91,1014174.0,1007740019.0
